Date physique,Entrepôt,Quantité
2024-01-02,DP0117,33762.5
2024-01-02,DP0517,28512.5
2024-01-03,DP0117,53375.0
2024-01-03,DP0517,43975.0
2024-01-04,DP0117,64725.0
2024-01-04,DP0517,43750.0
2024-01-05,DP0117,113687.5
2024-01-05,DP0517,21375.0
2024-01-06,DP0117,26687.5
2024-01-06,DP0517,31937.5
2024-01-08,DP0117,35887.5
2024-01-08,DP0517,21000.0
2024-01-09,DP0117,29312.5
2024-01-09,DP0517,44625.0
2024-01-10,DP0117,24937.5
2024-01-10,DP0517,34125.0
2024-01-11,DP0117,21875.0
2024-01-11,DP0517,27125.0
2024-01-12,DP0117,15312.5
2024-01-12,DP0517,23187.5
2024-01-13,DP0117,25812.5
2024-01-13,DP0517,19250.0
2024-01-15,DP0117,35000.0
2024-01-15,DP0517,23187.5
2024-01-16,DP0117,52937.5
2024-01-16,DP0517,24937.5
2024-01-17,DP0117,39687.5
2024-01-17,DP0517,27562.5
2024-01-18,DP0117,46750.0
2024-01-18,DP0517,25375.0
2024-01-19,DP0117,33062.5
2024-01-19,DP0517,26687.5
2024-01-20,DP0117,18812.5
2024-01-20,DP0517,30187.5
2024-01-22,DP0117,19250.0
2024-01-22,DP0517,24062.5
2024-01-23,DP0117,29750.0
2024-01-23,DP0517,21437.5
2024-01-24,DP0117,12250.0
2024-01-24,DP0517,25375.0
2024-01-25,DP0117,50375.0
2024-01-25,DP0517,25812.5
2024-01-26,DP0117,63812.5
2024-01-26,DP0517,25375.0
2024-01-27,DP0117,63625.0
2024-01-27,DP0517,28000.0
2024-01-28,DP0117,108037.5
2024-01-28,DP0517,63000.0
2024-01-29,DP0117,22975.0
2024-01-29,DP0517,28437.5
2024-01-30,DP0117,14875.0
2024-01-30,DP0517,14000.0
2024-01-31,DP0117,91688.0
2024-01-31,DP0517,45500.5
2024-02-01,DP0117,73850.0
2024-02-01,DP0517,51037.5
2024-02-02,DP0117,79137.5
2024-02-02,DP0517,49762.5
2024-02-03,DP0117,44500.0
2024-02-03,DP0517,31062.5
2024-02-05,DP0117,29312.5
2024-02-05,DP0517,29750.0
2024-02-06,DP0117,48562.5
2024-02-06,DP0517,20125.0
2024-02-07,DP0117,49375.0
2024-02-07,DP0517,21437.5
2024-02-08,DP0117,84812.5
2024-02-08,DP0517,30187.5
2024-02-09,DP0117,72450.0
2024-02-09,DP0517,26250.0
2024-02-10,DP0117,45312.5
2024-02-10,DP0517,28000.0
2024-02-12,DP0117,51187.5
2024-02-12,DP0517,30187.5
2024-02-13,DP0117,111812.5
2024-02-13,DP0517,22750.0
2024-02-14,DP0117,35875.0
2024-02-14,DP0517,29750.0
2024-02-15,DP0117,62000.0
2024-02-15,DP0517,24937.5
2024-02-16,DP0117,83875.0
2024-02-16,DP0517,21875.0
2024-02-17,DP0117,41862.5
2024-02-17,DP0517,29312.5
2024-02-19,DP0117,28437.5
2024-02-19,DP0517,34125.0
2024-02-20,DP0117,100062.5
2024-02-20,DP0517,23637.5
2024-02-21,DP0117,53937.5
2024-02-21,DP0517,24500.0
2024-02-22,DP0117,58687.5
2024-02-22,DP0517,20562.5
2024-02-23,DP0117,60812.5
2024-02-23,DP0517,24062.5
2024-02-24,DP0117,56875.0
2024-02-24,DP0517,22750.0
2024-02-25,DP0117,398112.5
2024-02-25,DP0517,28000.0
2024-02-26,DP0117,39812.5
2024-02-26,DP0517,31937.5
2024-02-27,DP0117,67187.5
2024-02-27,DP0517,27125.0
2024-02-28,DP0117,51125.0
2024-02-28,DP0517,28437.5
2024-02-29,DP0117,92750.0
2024-02-29,DP0517,22750.0
2024-03-01,DP0117,106475.0
2024-03-01,DP0517,53100.0
2024-03-02,DP0117,93450.0
2024-03-02,DP0517,87562.5
2024-03-04,DP0117,114425.0
2024-03-04,DP0517,58575.0
2024-03-05,DP0117,75312.5
2024-03-05,DP0517,67912.5
2024-03-06,DP0117,88662.5
2024-03-06,DP0517,53750.0
2024-03-07,DP0117,69062.5
2024-03-07,DP0517,28437.5
2024-03-08,DP0117,67750.0
2024-03-08,DP0517,22750.0
2024-03-09,DP0117,45062.5
2024-03-09,DP0517,24062.5
2024-03-11,DP0117,42875.0
2024-03-11,DP0517,35437.5
2024-03-12,DP0117,113625.0
2024-03-12,DP0517,28437.5
2024-03-13,DP0117,78250.0
2024-03-13,DP0517,25437.5
2024-03-14,DP0117,81875.0
2024-03-14,DP0517,22750.0
2024-03-15,DP0117,25812.5
2024-03-15,DP0517,22750.0
2024-03-16,DP0117,20000.0
2024-03-16,DP0517,24062.5
2024-03-18,DP0117,41125.0
2024-03-18,DP0517,35000.0
2024-03-19,DP0117,41937.5
2024-03-19,DP0517,26687.5
2024-03-20,DP0117,80562.5
2024-03-20,DP0517,26250.0
2024-03-21,DP0117,67500.0
2024-03-21,DP0517,23625.0
2024-03-22,DP0117,102125.0
2024-03-22,DP0517,23625.0
2024-03-23,DP0117,21875.0
2024-03-23,DP0517,27125.0
2024-03-25,DP0117,94062.5
2024-03-25,DP0517,35000.0
2024-03-26,DP0117,94125.0
2024-03-26,DP0517,24762.5
2024-03-27,DP0117,64437.5
2024-03-27,DP0517,23625.0
2024-03-28,DP0117,80375.0
2024-03-28,DP0517,23625.0
2024-03-29,DP0117,71687.5
2024-03-29,DP0517,26050.0
2024-03-30,DP0117,56875.0
2024-03-30,DP0517,32812.5
2024-03-31,DP0117,123200.0
2024-03-31,DP0517,42000.0
2024-04-01,DP0117,42787.5
2024-04-01,DP0517,51350.0
2024-04-02,DP0117,128012.5
2024-04-02,DP0517,61525.0
2024-04-03,DP0117,87775.0
2024-04-03,DP0517,67025.0
2024-04-04,DP0117,45187.5
2024-04-04,DP0517,24500.0
2024-04-05,DP0117,43062.5
2024-04-05,DP0517,21875.0
2024-04-06,DP0117,43312.5
2024-04-06,DP0517,30187.5
2024-04-08,DP0117,86612.5
2024-04-08,DP0517,36312.5
2024-04-09,DP0117,41125.0
2024-04-09,DP0517,36312.5
2024-04-11,DP0117,81750.0
2024-04-11,DP0517,39375.0
2024-04-12,DP0117,69125.0
2024-04-12,DP0517,22312.5
2024-04-13,DP0117,29312.5
2024-04-13,DP0517,44187.5
2024-04-14,DP0117,2625.0
2024-04-15,DP0117,104875.0
2024-04-15,DP0517,31937.5
2024-04-16,DP0117,19687.5
2024-04-16,DP0517,33250.0
2024-04-17,DP0117,30625.0
2024-04-17,DP0517,14437.5
2024-04-18,DP0117,45687.5
2024-04-18,DP0517,22312.5
2024-04-19,DP0117,74250.0
2024-04-19,DP0517,21875.0
2024-04-20,DP0117,29750.0
2024-04-20,DP0517,29312.5
2024-04-22,DP0117,44562.5
2024-04-22,DP0517,33687.5
2024-04-23,DP0117,53312.5
2024-04-23,DP0517,29750.0
2024-04-24,DP0117,49437.5
2024-04-24,DP0517,24062.5
2024-04-25,DP0117,53375.0
2024-04-25,DP0517,23187.5
2024-04-26,DP0117,72750.0
2024-04-26,DP0517,21875.0
2024-04-27,DP0117,30187.5
2024-04-27,DP0517,24937.5
2024-04-29,DP0117,85062.5
2024-04-29,DP0517,36750.0
2024-04-30,DP0117,803187.5
2024-04-30,DP0517,66937.5
2024-05-02,DP0117,93187.5
